userID	VidID	fracSpent	fracComp	fracPlayed	fracPaused	numPauses	avgPBR	stdPBR	numRWs	numFFs	s
2121e46145a5cb21f41d1456c9219226e2cfd3f0	[26, 27]	36.7416473114845	0.8273337728005	1.088162643194	100.63090240751401	3.5	1.25	1.110223024625e-16	0.5	0.5	0.5
213b4266c2e4870f59ab69911ae8033b7d73c711	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 36]	22.615065111524643	0.528477902425643	1.147930271096357	114.86357759940849	3.642857142857143	1.25	2.0618427600178578e-16	6.071428571428571	9.785714285714286	0.7857142857142857
214218b9f52008eff82d74da920cb0c1460e9f31	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 30, 31, 32, 33, 34, 35, 36, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62]	1.1885505897157307	0.8519755134879019	0.9583626319387691	1.7996296464527288	1.5576923076923077	1.0	0.0	0.5576923076923077	0.34615384615384615	0.4230769230769231
21434460262b61db5d06549fe72a65be85c8387a	[6, 7, 8, 9, 10, 11, 26]	0.534610022041	0.8781330192358572	0.9182425016725714	0.24097351672975714	2.857142857142857	1.7724345715657144	0.11817295860764288	1.0	0.14285714285714285	1.0
217e093f6f6d7a18262cc393ebe7830026b3e189	[0, 1, 2, 7, 8]	0.8283951258193	0.77148166818404	0.82301186177824	1.00726323777376	1.4	1.0	0.0	1.2	0.2	0.8
219afa4845428b104d491712510b3872294c6614	[0, 1, 6]	1.0582546005936668	0.5160713273390001	1.0579001643096666	1.5965374486426667	3.3333333333333335	1.0	0.0	8.666666666666666	9.333333333333334	0.6666666666666666
21b8161e85d4edc3af4c97e8db99f73c3329dba5	[10, 11, 21, 22, 24, 25, 36]	3.3731168855310143	0.1214217564692857	0.1714126876506714	33.71362016426629	2.857142857142857	0.8571428571428571	0.0	3.5714285714285716	7.571428571428571	0.5714285714285714
21dca50a82bf6768e5e9c53469286613d7d54208	[6, 7, 8]	1.0061171573253331	0.9668871180309999	1.0038084062339998	0.1393929342082	3.0	1.0	0.0	1.6666666666666667	0.0	0.3333333333333333
21ff459b85d88896049e3ba5094f223d16594ca2	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30]	2.038421433973224	0.7166306732256896	0.8969461945842759	10.413832703650785	2.7241379310344827	1.6878290799955171	0.11458200985003444	0.9310344827586207	1.4137931034482758	0.8275862068965517
2207455b3dd2f802473fcb4f0adf88bf07b2f63d	[0, 1, 2, 3]	1.2416181970875	0.91455612141	1.244809269575	0.6522682318055	2.75	1.0	0.0	2.5	0.25	0.5
